Laptop_Titulo,Laptop_Precio,Laptop_Url,CPU_Modelo,RAM_Capacidad,DiscoDuro_Capacidad,SistemaOperativo,Laptop_Marca,Laptop_TPantalla,Laptop_RPantalla,Laptop_Dimensiones,Laptop_Peso,Laptop_Material,Laptop_Color,Laptop_Bateria
Laptops gamer Asus TUF FX506LH-HN100T 15.6 FHD Intel Core I7 10th Gen 16GB 512GB SSD,"S/ 4699.00
          ",https://www.linio.com.pe/p/laptops-gamer-asus-tuf-fx506lh-hn100t-156-fhd-intel-core-i7-10th-gen-16gb-512gb-ssd-rzw9jx,"Marca de procesador:INTEL,Procesador:Intel Core i7-10870H Processor 2.2 GHz (16M Cache, up to 5.0 GHz, 8 cores) -,Velocidad de procesador:2.2GHZ,Ncleos de procesador:8","Memoria RAM:16GB,Memoria ampliable:32GB,Memoria Optane:no,Informacin adicional:Capacidad de Memoria Optane: No. USB 3.2: 3. Conexiones: 1x USB 2.0 Type-A. 1x USB 3.2 Gen 2 Type-C support DisplayPort / G-SYNC. 2x USB 3.2 Gen 1 Type-A//1x 3.5mm Combo Audio Jack. Tarjeta Grfica Integrada: Mobile Intel HM470 Express Chipsets. Tarjeta Grfica Dedicada: NVIDIA GeForce GTX 1650. Permite reemplazo: M.2 256GB PCIe SSD. M.2 512GB PCIe SSD. M.2 1TB PCIe SSD. Unidad de Estado Slido (SSD): 512GB M.2 NVMe PCIe 3.0 SSD.",,Sistema operativo:Window 10,"Marca de procesador:INTEL,Marca tarjeta grfica:NVIDIA","Tamao de pantalla:15.6""",Resolucin de pantalla:FHD (1920 x 1080) 16:9,,Peso (kg):2.30 Kg,,Color:Fortress Gray,
"Asus VivoBook 15 Intel Core i5 11th 8GB RAM 256GB SSD W10 15.6"" FHD Tctil","S/ 2499.00
          ",https://www.linio.com.pe/p/asus-vivobook-15-intel-core-i5-11th-8gb-ram-256gb-ssd-w10-156-fhd-ta-ctil-x1d6qz,PROCESADOR INTEL DE 11 GENERACIN,,,,,,,,,,,
Laptop Acer Ryzer 5 3500U Ram 12GB DDR4 SSD 256GB 15.6 FHD Sin Sistema,"S/ 2419.00
          ",https://www.linio.com.pe/p/laptop-acer-ryzer-5-3500u-ram-12gb-ddr4-ssd-256gb-156-fhd-sin-sistema-n0oeka,"Fabricante de Procesador AMD,Tipo de Procesador Ryzen 5,Modelo de procesador 3500U,Velocidad de Procesador 2,10 GHz,Ncleo de procesador Quad-Core (4 Core)Pantalla y grficos","Accesibilidad de Memoria Grfica Compartida,Memoria Memoria Estndar 12 GB,Tecnologa de memoria DDR4 SDRAM,Lector de tarjeta memoria No",Almacenamiento Capacidad Total 256 de la Unidad de Estado Slido (SSD),Software Sistema Operativo UEFI Shell,,"Tamao de Pantalla 39,6 cm (15,6"")",Resolucin de la Pantalla 1920 x 1080,,"Peso (Aproximado) 1,90 kg",,Color Plata puro,Batera estndar
"Laptop Asus L510ma-Wb04 Intel Celeron N4020 RAM 4GB 128GB SSD DVD  15.6"" HD","S/ 1219.00
          ",https://www.linio.com.pe/p/laptop-asus-l510ma-wb04-intel-celeron-n4020-ram-4gb-128gb-ssd-dvd-156-hd-opeli8,Procesador:Intel Celeron N4020 1.10Ghz Turbo Boost 2.80Ghz,Memoria Ram: 4 GB DDR4,"Almacenamiento: 128GB EMMC,Tipo de Almacenamiento: SSD",Sistema Operativo: WINDOWS 10,,,Resolucin: FHD (1920x1080),,,,Color: NEGRO,
"LAPTOP HP 250 G7 15.6"" intel core  i7 10ma gen. 8GB 1TB NVIDIA GeForce MX130 2GB","S/ 3349.00
          ",https://www.linio.com.pe/p/laptop-hp-250-g7-156-intel-core-i7-10ma-gen-8gb-1tb-nvidia-geforce-mx130-2gb-vevgfx,Procesador intel core i7 1065G7 10ma gen,Memoria RAM 8GB,,,,,,,,,,
"Laptop HP 15.6"" Intel Core i3 10Gen 256GB SSD 4GB RAM 15-DW1085LA","S/ 2219.00
          ",https://www.linio.com.pe/p/laptop-hp-156-intel-core-i3-10-gen-256gb-ssd-4gb-ram-15-dw1085la-ynirl5,,[8] La memoria de video compartida (UMA) utiliza parte de la memoria total del sistema para el funcionamiento de video.,,,,,,,,,,
Laptop Yepo - 8GB RAM - Pantalla 15 pulgadas + Mouse de Obsequio,"S/ 1099.00
          ",https://www.linio.com.pe/p/laptop-yepo-8gb-ram-pantalla-15-pulgadas-mouse-de-obsequio-jp3358,,Slot para expandir otra memoria SSD o Disco duro,,,,,,,,,,"Batera: 7,4 V 4000 mAh"
Notebook HP 15-dw1085la 156 WLED HD SVA Core i3-1011U,"S/ 1809.00
          ",https://www.linio.com.pe/p/notebook-hp-15-dw1085la-156-wled-hd-sva-core-i3-1011u-vbclb2,"ProcesadorIntel Core   i3-10110U,Velocidad del procesador 2.1GHz, turbo hasta 4.1GHz,Velocidad mxima del procesador 4.1 GHz,Ncleos del procesador Dual core","Memoria ram:4GB DDR4 - 2666,Memoria cach 4MB L3,Memoria expandible si, hasta 16GB,Tipo de memoria ram 4GB DDR4 - 2666,Memoria interna 256GB SSD PCIe",,Sistema operativoWindows 10,Marca: HP,,Resolucin de pantalla 1366 x 768,"Medidas del producto 35,85 cm (ancho) x 24,2 cm (prof.) X 1,99 cm (alt.)","Peso del producto 1,74 kg",,Color gris pizarra,"Batera Hasta 10 horas, segn condiciones de uso."
"Laptop HP 15.6"" Ryzen 5 Serie 4000 256GB SSD 8GB 15-EF1012LA","S/ 2489.00
          ",https://www.linio.com.pe/p/laptop-hp-156-ryzen-5-serie-4000-256gb-ssd-8gb-15-ef1012la-v9ovkg,"Procesador,Familia de procesador:,Procesador AMD Ryzen 5",Memoria,Almacenamiento de datos,Sistema operativo,,,,,,,,
Laptop Laptop Hp Pavilion Gaming 15-EC1038LA  AMD Ryzen 7 4800H RAM 8GB 512 GB SSD Video GTX 1650 TI 15.6 FHD,"S/ 3999.00
          ",https://www.linio.com.pe/p/laptop-laptop-hp-pavilion-gaming-15-ec1038la-amd-ryzen-7-4800h-ram-8gb-512-gb-ssd-video-gtx-1650-ti-156-fhd-tqxfbh,"Procesador: AMD Ryzen7 4800H 2.9 GHz Turbo Boost 4.2 GHz, Cach 8MB",Memoria: 8GB DDR4 - 3200MHZ (Expandible a 32GB),,Sistema operativo: WINDOWS 10 64 bits,,,"Pantalla: 15.6""144 HzFHD resolucin mxima (1920x1080)",,,,Color: Logotipo cromado verde y negro sombra,
